model,scenario,region,variable,unit,year,value,data_source
MESSAGEix-GLOBIOM_1.1,NGFS2_Current Policies,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,21.66094415735484,ar6
MESSAGEix-GLOBIOM_1.1,NGFS2_Current Policies,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,23.47913676667099,ar6
MESSAGEix-GLOBIOM_1.1,NGFS2_Current Policies,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,25.931133392599673,ar6
MESSAGEix-GLOBIOM_1.1,NGFS2_Current Policies,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,27.891222534291767,ar6
POLES ADVANCE,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,13.3329618222936,ar6
POLES ADVANCE,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,15.199507682458625,ar6
POLES ADVANCE,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,17.27632088814253,ar6
POLES ADVANCE,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,19.49192175104027,ar6
POLES ADVANCE,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,21.773413139188985,ar6
POLES ADVANCE,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,24.033876826010644,ar6
POLES ADVANCE,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,26.332618464617898,ar6
POLES CD-LINKS,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,13.406858962321435,ar6
POLES CD-LINKS,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,15.230930911515527,ar6
POLES CD-LINKS,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,17.296356586140828,ar6
POLES CD-LINKS,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,19.51518625149582,ar6
POLES CD-LINKS,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,21.806725499401544,ar6
POLES CD-LINKS,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,24.082630827601573,ar6
POLES CD-LINKS,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,26.403632020430084,ar6
POLES ENGAGE,EN_NPi2100,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,13.957332629922348,ar6
POLES ENGAGE,EN_NPi2100,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,16.025560060536986,ar6
POLES ENGAGE,EN_NPi2100,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,18.03594582106497,ar6
POLES ENGAGE,EN_NPi2100,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,20.078479833010274,ar6
POLES ENGAGE,EN_NPi2100,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,22.273235250922223,ar6
POLES ENGAGE,EN_NPi2100,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,24.68429183156699,ar6
POLES ENGAGE,EN_NPi2100,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,27.389600374520114,ar6
POLES GECO2019,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,13.957332629922348,ar6
POLES GECO2019,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,16.025560060536986,ar6
POLES GECO2019,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,18.03594582106497,ar6
POLES GECO2019,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,20.078479833010274,ar6
POLES GECO2019,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,22.273235250922223,ar6
POLES GECO2019,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,24.68429183156699,ar6
POLES GECO2019,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,27.389600374520114,ar6
